id;title_en;subtitle_en;name;manufacturer;style;detailed_condition;materials;price;sale_price;diameter;height;weight;lamps;description_en;seo_title_en;seo_description_en
1;Crystal Chandelier No.1;Exhibition Collection;Palm Tree Chandelier;Bakalowits Licht Design GmbH / Austria;Jugendstil / Art Nouveau;Very Good Condition - This vintage piece presents exceptionally well showing o glass - Full cut optical crystal glass.\nly subtle signs of wear and a natural patina consistent with its age and history. No defects are observed. The item has been carefully inspected and is confirmed by the vendor to be in proper working order.;CrystalnMetal parts - Brass finished with 24K silver galvanic plating.;17400;Price on demand;86;72;28;15 × E27 globe;Exquisitely handcrafted chandelier composed of full cut optical crystal glass elements, reflecting exceptional clarity and brilliance.;Crystal Chandelier No.1 Handcrafted European Luxury Lighting;An exclusive handcrafted crystal chandelier from a private exhibition collection. Timeless European design exceptional craftsmanship and limited availability.
2;Crystal Sconce No.1;Exhibition Collection;Palm Tree Sconce;Bakalowits Licht Design GmbH / Austria;Jugendstil / Art Nouveau;Very Good Condition - This vintage piece presents exceptionally well showing only subtle signs of wear and a natural patina consistent with its age and history. No defects are observed. The item has been carefully inspected and is confirmed by the vendor to be in proper working order.;Crystal glass - Full cut optical crystal glass.\nMetal parts - Brass finished with 24K silver galvanic plating.;4238;Price on demand;34;38;7;3 × E14 candle;Exquisitely handcrafted sconce composed of full cut optical crystal glass elements, reflecting exceptional clarity and brilliance.;Crystal Sconce No.1 Handcrafted European Luxury Lighting;An exclusive handcrafted crystal sconce from a private exhibition collection. Timeless European design exceptional craftsmanship and limited availability.
3;Crystal Chandelier No.2;Exhibition Collection;F 2051;Bakalowits Licht Design GmbH / Austria;Jugendstil / Art Nouveau;Very Good Condition - This vintage piece is free from defects and presents beautifully showing only subtle signs of use and gentle wear consistent with its age and history.;Crystal glass - Optical crystal glass.\nMetal parts - Brass finished with 24K gold galvanic plating.;5950;Price on demand;45;120;30;5 × E14 globe;Rare piece from a private European collection;Crystal Chandelier No.2 Exclusive Exhibition Piece in Optical Crystal;Rare crystal chandelier crafted for an exhibition collection. A refined statement piece combining architectural elegance and artisanal precision.
4;Alabaster Chandelier No.3;Exhibition Collection;F 2746;Bakalowits Licht Design GmbH / Austria;Neoclassical / Louis XVI inspired;Excellent Condition - This chandelier is in impeccable condition showing no visible signs of wear or defects. It has been exceptionally well preserved and presents as new.;Shade - Natural alabaster.\nMetal parts - Brass finished with 24K gold galvanic plating.;7963;Price on demand;92;132;30;15 × E27 globe;Handcrafted chandelier with a natural alabaster shade, showcasing timeless elegance and refined craftsmanship.;Chandelier No.3 Exclusive Exhibition Piece with Natural alabaster;Rare exclusive  chandelier handcrafted for an exhibition collection. A refined statement piece combining architectural elegance and artisanal precision.
5;Frosted Glass Chandelier No.4;Exhibition Collection;F 2310;Bakalowits Licht Design GmbH / Austria;Art Deco / Neoclassical;Excellent Condition - This chandelier is in impeccable condition showing no visible signs of wear or defects. It has been exceptionally well preserved and presents as new.;Glass - Top quality frosted glass.\nMetal parts - Brass finished with 24K gold galvanic plating.;8325;Price on demand;95;40;30;15 × E14 globe;Rare piece from a private European collection;Chandelier No.4 Exclusive Exhibition Piece with top quality frosted glass;Rare exclusive  chandelier handcrafted for an exhibition collection. A refined statement piece combining architectural elegance and artisanal precision.
6;Crystal Chandelier No.5;Exhibition Collection;F 2142;Bakalowits Licht Design GmbH / Austria;Neoclassical / Empire;Excellent Condition - This chandelier is in impeccable condition showing no visible signs of wear or defects. It has been exceptionally well preserved and presents as new.;Crystal glass - Optical crystal glass.\nMetal parts - Brass finished with 24K gold galvanic plating.;15900;Price on demand;75;100;30;9 × E27 candle;Handcrafted chandelier made of optical crystal;Crystal Chandelier No.5 Handcrafted European Luxury Lighting;An imposing Neoclassical chandelier inspired by the Empire period featuring hand-cut crystal elements candle-style arms and a refined vertical composition typical of historic Viennese lighting.
7;Crystal Chandelier No.6;Exhibition Collection;F 2370;Bakalowits Licht Design GmbH / Austria;Neoclassical chandelier with Louis XVI and Empire influences;Good Condition - This vintage piece presents well overall showing gentle wear consistent with its age and history. Minor imperfections are present including small defects to some of the crystal pendants which do not detract from the piece’s overall appearance.;Crystal glass - Full cut optical crystal glass.\nMetal parts - Brass finished with 24K silver galvanic plating.;14975;Price on demand;104;108;50;22 × E14 candle;Rare piece from a private European collection;Crystal Chandelier No.6 Handcrafted European Luxury Lighting;Rare exclusive  chandelier handcrafted for an exhibition collection. A refined statement piece combining architectural elegance and artisanal precision.
8;Milk Glass Chandelier No.7;Exhibition Collection;F 2498;Bakalowits Licht Design GmbH / Austria;Art Deco (Viennese Art Deco);Excellent Condition - This chandelier is in impeccable condition showing no visible signs of wear or defects. It has been exceptionally well preserved and presents as new.;Glass - Top quality milk glass.\nMetal parts - Brass finished with 24K gold galvanic plating.;11238;Price on demand;90;90;40;6 × E14 candle + 1 × E27 globe;Rare piece from a private European collection;Crystal Chandelier No.7 Handcrafted European Luxury Lighting;Rare exclusive  chandelier handcrafted for an exhibition collection. A refined statement piece combining architectural elegance and artisanal precision.
9;Chandelier No.8;Exhibition Collection;F 2315;Bakalowits Licht Design GmbH / Austria;Neoclassical / Classical;Excellent Condition - This chandelier is in impeccable condition showing no visible signs of wear or defects. It has been exceptionally well preserved and presents as new.;Metal parts - Brass finished with 24K gold galvanic plating.;11675;Price on demand;100;65;30;48 × E14 candle;Rare piece from a private European collection;Chandelier No.8 Handcrafted European Luxury Lighting;Rare exclusive  chandelier handcrafted for an exhibition collection. A refined statement piece combining architectural elegance and artisanal precision.
10;Crystal Chandelier No.9;Exhibition Collection;F 2028;Bakalowits Licht Design GmbH / Austria;Hollywood Regency;Very Good Condition - This vintage piece presents exceptionally well showing only subtle signs of wear and a natural patina consistent with its age and history. No defects are observed. The item has been carefully inspected and is confirmed by the vendor to be in proper working order.;Crystal glass - Full cut optical crystal glass.\nMetal parts - Brass finished with 24K silver galvanic plating.;11800;Price on demand;90;80;50;24 × E27 globe;Rare piece from a private European collection;Crystal Chandelier No.9 Handcrafted European Luxury Lighting;Rare exclusive  chandelier handcrafted for an exhibition collection. A refined statement piece combining architectural elegance and artisanal precision.
11;Crystal Chandelier No.10;Exhibition Collection;20-6998;Bakalowits Licht Design GmbH / Austria;Neoclassical Viennese Classicism;Excellent Condition - This chandelier is in impeccable condition showing no visible signs of wear or defects. It has been exceptionally well preserved and presents as new.;Crystal glass - Full cut optical crystal glass.\nMetal parts - Brass finished with 24K silver galvanic plating.;11025;Price on demand;60;60;30;18 × E27 candle + 3 × E14 globe;Rare piece from a private European collection;Crystal Chandelier No.10 Handcrafted European Luxury Lighting;Rare exclusive  chandelier handcrafted for an exhibition collection. A refined statement piece combining architectural elegance and artisanal precision.
12;Crystal Chandelier No.11;Exhibition Collection;20-5654;Bakalowits Licht Design GmbH / Austria;Imperial Neoclassical;Excellent Condition - This chandelier is in impeccable condition showing no visible signs of wear or defects. It has been exceptionally well preserved and presents as new.;Crystal glass - Full cut optical crystal glass incorporating decorative elements in cobalt blue glass.\nMetal parts - Brass finished with 24K silver galvanic plating.;21025;Price on demand;80;140;75;12 × E14 candle;Rare piece from a private European collection;Crystal Chandelier No.11 Handcrafted European Luxury Lighting;Rare exclusive  chandelier handcrafted for an exhibition collection. A refined statement piece combining architectural elegance and artisanal precision.
13;Crystal Floor Lamp No.2;Exhibition Collection;F 2307;Bakalowits Licht Design GmbH / Austria;Neoclassical / Historicist  - Viennese Classicism tradition;Excellent Condition - This floor lamp is in impeccable condition showing no visible signs of wear or defects. It has been exceptionally well preserved and presents as new.;Crystal glass - Full cut optical crystal glass.\nStructure – Wooden stem in antique gold finish with base in brass finished with 24K gold galvanic plating.;8025;Price on demand;50;165;30;9 × E14 candle;Rare piece from a private European collection;Crystal Floor Lamp No.2 Handcrafted European Luxury Lighting;Rare exclusive  floor lamp handcrafted for an exhibition collection. A refined statement piece combining architectural elegance and artisanal precision.











